Month,East_North_Central_NSA,East_North_Central_SA,East_South_Central_NSA,East_South_Central_SA,Middle_Atlantic_NSA,Middle_Atlantic_SA,Mountain_NSA,Mountain_SA,New_England_NSA,New_England_SA,Pacific_NSA,Pacific_SA,South_Atlantic_NSA,South_Atlantic_SA,West_North_Central_NSA,West_North_Central_SA,West_South_Central_NSA,West_South_Central_SA,USA_NSA,USA_SA
1998-05-01 00:00:00,138.35,136.76,135.47,134.58,107.01,106.16,151.42,150.66,109.22,108.65,106.1,105.2,122.45,121.71,137.33,135.99,127.29,126.22,124.32,123.3
1998-06-01 00:00:00,139.28,137.46,136.48,135.21,108.72,106.98,152.06,151.13,111.22,109.47,107.19,106.19,123.53,122.28,138.86,137.28,128.23,126.99,125.51,124.09
1998-07-01 00:00:00,139.62,137.75,136.2,135.23,108.76,106.95,152.62,151.69,111.51,109.96,107.53,106.57,123.62,122.63,139.24,137.45,129.15,127.74,125.81,124.41
1998-08-01 00:00:00,140,138.36,136.36,135.41,109.42,107.65,153.35,152.47,112.18,110.74,108.06,107.21,123.85,122.79,139.78,138.12,129.51,128.19,126.25,124.94
1998-09-01 00:00:00,140.49,139.12,137.43,136.58,109.49,108.34,153.56,152.82,113.04,111.83,108.37,107.87,124.64,123.71,140.34,139.05,129.67,128.8,126.73,125.73
1998-10-01 00:00:00,141.04,139.89,137.31,136.87,109.34,108.47,154.12,153.67,112.75,111.84,108.94,108.77,124.7,123.97,140.83,139.94,130.05,129.39,126.99,126.26
1998-11-01 00:00:00,141.39,140.77,138.33,137.73,109.48,108.96,154.13,154.17,114.27,113.85,109.49,109.5,125.15,124.72,142.38,141.67,130.37,129.77,127.54,127.09
1998-12-01 00:00:00,141.27,141.13,138.35,138.08,110.08,109.87,154.46,154.92,114.05,114.15,109.38,109.62,125.5,125.22,142.35,142.43,131.22,131.02,127.75,127.66
1999-01-01 00:00:00,141.27,141.67,138.84,138.51,110.49,110.45,154.55,155.39,114.24,114.67,110.7,111.15,126.21,125.93,142.56,143.06,131.11,131.33,128.2,128.37
1999-02-01 00:00:00,142.41,142.43,139.41,139.21,109.99,110.75,155.55,156.26,114.81,115.94,111.03,111.52,126.76,126.48,142.83,143.27,131.74,131.67,128.69,128.91
1999-03-01 00:00:00,143.39,142.85,140.33,139.95,110.68,110.74,157.88,157.76,115.89,116.57,112.7,112.49,127.53,127.02,144.36,143.89,132.33,132,129.78,129.49
1999-04-01 00:00:00,144.21,143.3,140.67,139.96,111.72,111.59,158.05,157.47,117.68,117.63,113.63,113.21,128.26,127.56,145.57,144.84,133.8,132.96,130.72,130.11
1999-05-01 00:00:00,145.95,144.26,141.46,140.55,113.16,112.35,159.35,158.53,119.28,118.67,114.84,113.85,129.28,128.41,146.93,145.43,134.58,133.43,131.98,130.88
1999-06-01 00:00:00,146.63,144.7,141.95,140.62,115.35,113.45,160.23,159.16,121.46,119.54,115.86,114.75,129.93,128.59,148.08,146.28,135.29,133.99,133.03,131.49
1999-07-01 00:00:00,147.42,145.41,142.24,141.23,116.19,114.27,160.88,159.94,122.64,120.76,116.29,115.31,130.49,129.37,148.64,146.66,136.33,134.83,133.73,132.22
1999-08-01 00:00:00,148.1,146.34,142.54,141.6,116.63,114.78,161.76,160.79,123.5,121.85,117.08,116.21,131.09,130.01,149.96,148.14,136.86,135.46,134.41,133.01
1999-09-01 00:00:00,148.09,146.6,143.09,142.15,116.39,115.05,162.92,162.2,124.28,122.85,117.5,116.94,131.14,130.14,149.22,147.82,136.59,135.66,134.5,133.4
1999-10-01 00:00:00,148.49,147.28,142.66,142.09,117.1,116.15,162.5,162.06,124.54,123.44,118.21,118,132.12,131.3,149.32,148.34,137.22,136.47,135,134.19
